Farm No.,Total Area (Sqft)
1,38009
2,54497
3,21882
4,12066
5,13832
6,6447
7,12068
8,14430
9,15404
10,13538
11,12374
12,10896
13,11969
14,12225
15,10795
16,10000
17,10000
18,10000
19,10000
20,10000
21,10000
22,11250
23,11250
24,10000
25,10000
26,10000
27,10000
28,10000
29,10000
30,7611
31,11429
32,14822
33,10000
34,10000
35,10000
36,11250
37,11250
38,10000
39,10000
40,10891
41,9541
42,10000
43,11250
44,20736
45,8750
46,10000
47,8750
48,9730
49,10000
50,16746
51,14452
52,10000
53,10000
54,10841
55,14728
56,5750
57,20127
